"id","kode_bps","kode_kemendagri","kecamatan","created_at","updated_at"
"1","3273010","327315","Bandung Kulon","11/7/2022 04:22:35","11/7/2022 04:22:35"
"2","3273020","327303","Babakan Ciparay","11/7/2022 04:22:35","11/7/2022 04:22:35"
"3","3273030","327304","Bojongloa Kaler","11/7/2022 04:22:35","11/7/2022 04:22:35"
"4","3273040","327317","Bojongloa Kidul","11/7/2022 04:22:35","11/7/2022 04:22:35"
"5","3273050","327310","Astanaanyar","11/7/2022 04:22:35","11/7/2022 04:22:35"
"6","3273060","327311","Regol","11/7/2022 04:22:35","11/7/2022 04:22:35"
"7","3273070","327313","Lengkong","11/7/2022 04:22:35","11/7/2022 04:22:35"
"8","3273080","327321","Bandung Kidul","11/7/2022 04:22:35","11/7/2022 04:22:35"
"9","3273090","327322","Buahbatu","11/7/2022 04:22:35","11/7/2022 04:22:35"
"10","3273100","327323","Rancasari","11/7/2022 04:22:35","11/7/2022 04:22:35"
"11","3273101","327327","Gedebage","11/7/2022 04:22:35","11/7/2022 04:22:35"
"12","3273110","327325","Cibiru","11/7/2022 04:22:35","11/7/2022 04:22:35"
"13","3273111","327328","Panyileukan","11/7/2022 04:22:35","11/7/2022 04:22:35"
"14","3273120","327326","Ujung Berung","11/7/2022 04:22:35","11/7/2022 04:22:35"
"15","3273121","327329","Cinambo","11/7/2022 04:22:35","11/7/2022 04:22:35"
"16","3273130","327324","Arcamanik","11/7/2022 04:22:35","11/7/2022 04:22:35"
"17","3273141","327320","Antapani","11/7/2022 04:22:35","11/7/2022 04:22:35"
"18","3273142","327330","Mandalajati","11/7/2022 04:22:35","11/7/2022 04:22:35"
"19","3273150","327316","Kiaracondong","11/7/2022 04:22:35","11/7/2022 04:22:35"
"20","3273160","327312","Batununggal","11/7/2022 04:22:35","11/7/2022 04:22:35"
"21","3273170","327319","Sumur Bandung","11/7/2022 04:22:35","11/7/2022 04:22:35"
"22","3273180","327305","Andir","11/7/2022 04:22:35","11/7/2022 04:22:35"
"23","3273190","327306","Cicendo","11/7/2022 04:22:35","11/7/2022 04:22:35"
"24","3273200","327309","Bandung Wetan","11/7/2022 04:22:35","11/7/2022 04:22:35"
"25","3273210","327314","Cibeunying Kidul","11/7/2022 04:22:35","11/7/2022 04:22:35"
"26","3273220","327318","Cibeunying Kaler","11/7/2022 04:22:35","11/7/2022 04:22:35"
"27","3273230","327302","Coblong","11/7/2022 04:22:35","11/7/2022 04:22:35"
"28","3273240","327307","Sukajadi","11/7/2022 04:22:35","11/7/2022 04:22:35"
"29","3273250","327301","Sukasari","11/7/2022 04:22:35","11/7/2022 04:22:35"
"30","3273260","327308","Cidadap","11/7/2022 04:22:35","11/7/2022 04:22:35"
