"id","kecamatan","puskesmas","created_at","updated_at"
"1","22","Babatan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"2","22","Garuda","11/7/2022 04:22:41","11/7/2022 04:22:41"
"3","17","Antapani","11/7/2022 04:22:41","11/7/2022 04:22:41"
"4","17","Griya Antapani","11/7/2022 04:22:41","11/7/2022 04:22:41"
"5","17","Jajaway","11/7/2022 04:22:41","11/7/2022 04:22:41"
"6","16","Arcamanik","11/7/2022 04:22:41","11/7/2022 04:22:41"
"7","16","Rusunawa","11/7/2022 04:22:41","11/7/2022 04:22:41"
"8","5","Astana Anyar","11/7/2022 04:22:41","11/7/2022 04:22:41"
"9","5","Lio Genteng","11/7/2022 04:22:41","11/7/2022 04:22:41"
"10","5","Pagarsih","11/7/2022 04:22:41","11/7/2022 04:22:41"
"11","5","Pelindung Hewan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"12","2","Caringin","11/7/2022 04:22:41","11/7/2022 04:22:41"
"13","2","Cibolerang","11/7/2022 04:22:41","11/7/2022 04:22:41"
"14","2","Sukahaji","11/7/2022 04:22:41","11/7/2022 04:22:41"
"15","8","Kujangsari","11/7/2022 04:22:41","11/7/2022 04:22:41"
"16","8","Mengger","11/7/2022 04:22:41","11/7/2022 04:22:41"
"17","8","Pasawahan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"18","1","Cibuntu","11/7/2022 04:22:41","11/7/2022 04:22:41"
"19","1","Cigondewah","11/7/2022 04:22:41","11/7/2022 04:22:41"
"20","1","Cijerah","11/7/2022 04:22:41","11/7/2022 04:22:41"
"21","24","Salam","11/7/2022 04:22:41","11/7/2022 04:22:41"
"22","24","Taman Sari","11/7/2022 04:22:41","11/7/2022 04:22:41"
"23","20","Ahmad Yani","11/7/2022 04:22:41","11/7/2022 04:22:41"
"24","20","Gumuruh","11/7/2022 04:22:41","11/7/2022 04:22:41"
"25","20","Ibrahim Adjie","11/7/2022 04:22:41","11/7/2022 04:22:41"
"26","3","Babakan Tarogong","11/7/2022 04:22:41","11/7/2022 04:22:41"
"27","3","Citarip","11/7/2022 04:22:41","11/7/2022 04:22:41"
"28","3","Sukapakir","11/7/2022 04:22:41","11/7/2022 04:22:41"
"29","4","Cibaduyut Kidul","11/7/2022 04:22:41","11/7/2022 04:22:41"
"30","4","Cibaduyut Wetan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"31","4","Kopo","11/7/2022 04:22:41","11/7/2022 04:22:41"
"32","9","Margahayu Raya","11/7/2022 04:22:41","11/7/2022 04:22:41"
"33","9","Sekejati","11/7/2022 04:22:41","11/7/2022 04:22:41"
"34","26","Cigadung","11/7/2022 04:22:41","11/7/2022 04:22:41"
"35","26","Neglasari","11/7/2022 04:22:41","11/7/2022 04:22:41"
"36","25","Padasuka","11/7/2022 04:22:41","11/7/2022 04:22:41"
"37","25","Pasirlayung","11/7/2022 04:22:41","11/7/2022 04:22:41"
"38","12","Cibiru","11/7/2022 04:22:41","11/7/2022 04:22:41"
"39","12","Cilengkrang","11/7/2022 04:22:41","11/7/2022 04:22:41"
"40","12","Cipadung","11/7/2022 04:22:41","11/7/2022 04:22:41"
"41","23","Pasirkaliki","11/7/2022 04:22:41","11/7/2022 04:22:41"
"42","23","Sukaraja","11/7/2022 04:22:41","11/7/2022 04:22:41"
"43","30","Cipaku","11/7/2022 04:22:41","11/7/2022 04:22:41"
"44","30","Ciumbuleuit","11/7/2022 04:22:41","11/7/2022 04:22:41"
"45","15","Cinambo","11/7/2022 04:22:41","11/7/2022 04:22:41"
"46","27","Cikutra Lama","11/7/2022 04:22:41","11/7/2022 04:22:41"
"47","27","Dago","11/7/2022 04:22:41","11/7/2022 04:22:41"
"48","27","Puter","11/7/2022 04:22:41","11/7/2022 04:22:41"
"49","27","Sekeloa","11/7/2022 04:22:41","11/7/2022 04:22:41"
"50","11","Cempaka Arum","11/7/2022 04:22:41","11/7/2022 04:22:41"
"51","11","Riung Bandung","11/7/2022 04:22:41","11/7/2022 04:22:41"
"52","19","Babakan Sari","11/7/2022 04:22:41","11/7/2022 04:22:41"
"53","19","Babakan Surabaya","11/7/2022 04:22:41","11/7/2022 04:22:41"
"54","7","Cijagra Baru","11/7/2022 04:22:41","11/7/2022 04:22:41"
"55","7","Cijagra Lama","11/7/2022 04:22:41","11/7/2022 04:22:41"
"56","7","Suryalaya","11/7/2022 04:22:41","11/7/2022 04:22:41"
"57","7","Talaga Bodas","11/7/2022 04:22:41","11/7/2022 04:22:41"
"58","18","Jatihandap","11/7/2022 04:22:41","11/7/2022 04:22:41"
"59","18","Pamulang","11/7/2022 04:22:41","11/7/2022 04:22:41"
"60","18","Sindang Jaya","11/7/2022 04:22:41","11/7/2022 04:22:41"
"61","13","Panghegar","11/7/2022 04:22:41","11/7/2022 04:22:41"
"62","13","Panyileukan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"63","10","Cipamokolan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"64","10","Derwati","11/7/2022 04:22:41","11/7/2022 04:22:41"
"65","6","Moch. Ramdhan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"66","6","Pasirluyu","11/7/2022 04:22:41","11/7/2022 04:22:41"
"67","6","Pasundan","11/7/2022 04:22:41","11/7/2022 04:22:41"
"68","28","Sukagalih","11/7/2022 04:22:41","11/7/2022 04:22:41"
"69","28","Sukajadi","11/7/2022 04:22:41","11/7/2022 04:22:41"
"70","28","Sukawarna","11/7/2022 04:22:41","11/7/2022 04:22:41"
"71","29","Karang Setra","11/7/2022 04:22:41","11/7/2022 04:22:41"
"72","29","Ledeng","11/7/2022 04:22:41","11/7/2022 04:22:41"
"73","29","Sarijadi","11/7/2022 04:22:41","11/7/2022 04:22:41"
"74","29","Sukarasa","11/7/2022 04:22:41","11/7/2022 04:22:41"
"75","21","Balaikota","11/7/2022 04:22:41","11/7/2022 04:22:41"
"76","21","Tamblong","11/7/2022 04:22:41","11/7/2022 04:22:41"
"77","14","Pasirjati","11/7/2022 04:22:41","11/7/2022 04:22:41"
"78","14","Ujung Berung Indah","11/7/2022 04:22:41","11/7/2022 04:22:41"
